halId_s,docType_s,title_s,authFullName_s,producedDate_s,domain_s,journalTitle_s,conferenceTitle_s,language_s,inPress_bool,keyword_s,labStructAcronym_s
hal-02880735,COMM,Microservice Disaster Crash Recovery: A Weak Global Referential Integrity Management,"Maude Manouvrier,Cesare Pautasso,Marta Rukoz",2020-06,0.info,,Computational Science – ICCS 2020. 20th International Conference,en,false,"Microservices,Referential integrity,Backup,Weak global consistency",LAMSADE
hal-02179724,COMM,Dynamic-R: a new convincing multiple criteria method for rating problem statements,"Raboun Oussama,Eric Chojnacki,Alexis Tsoukias",2019-05,0.info,,"5th International Conference on Decision Support System Technology, EmC-ICDSST 2019",en,false,"Algorithmic decision theory,Decision support systems,Rating problem statements,Multicriteria decision aiding","LAMSADE,IRSN"
hal-02324228,COUV,What Is a Decision Problem? Designing Alternatives,"Alberto Colorni,Alexis Tsoukiàs",2018-05-30,"0.info,0.info,1.info.info-ro",,,en,false,,LAMSADE
hal-02324106,ART,Design Theory for Generating Alternatives in Public Decision Making Processes,"Irene Pluchinotta,Akin Kazakçi,Raffaele Giordano,Alexis Tsoukiàs",2019-04,"0.info,0.info,1.info.info-ro",Group Decision and Negotiation,,en,false,,"LAMSADE,CGS i3"
hal-02011716,COMM,How AI could help physicians during their medical consultations: An analysis of physicians' decision process to develop efficient decision support systems for medical consultations,"Antoine Richard,Brice Mayag,Yves Meinard,François Talbot,Alexis Tsoukiàs",2018-07-03,"0.info,1.info.info-ai,0.info,1.info.info-ro,0.sdv,1.sdv.mhep",,PFIA 2018,en,false,"Clinical Decsion Support Systems,Health Information System,Decision Process Analysis",LAMSADE
hal-02861754,COUV,How to Use Ambiguity in Problem Framing for Enabling Divergent Thinking: Integrating Problem Structuring Methods and Concept-Knowledge Theory,"Raffaele Giordano,Irene Pluchinotta,Dimitrios Zikos,Tobias Krueger,Alexis Tsoukias",2020-10-25,"0.info,0.shs,1.shs.gestion",,,en,false,,LAMSADE
hal-02098330,ART,Residual Networks for Computer Go,Tristan Cazenave,2018,0.info,IEEE Transactions on Games,,en,false,"Residual networks,Deep learning,Computer Go",LAMSADE
hal-03165379,COMM,On the Complexity of the Upper r-Tolerant Edge Cover Problem,"Ararat Harutyunyan,Mehdi Ghadikolaei,Nikolaos Melissinos,Jérôme Monnot,Aris Pagourtzis",2020-07-01,0.info,,3rd International Conference on Topics in Theoretical Computer Science (TTCS),en,false,"Upper edge cover,Matching,NP-completeness,Approximability",LAMSADE
hal-03092402,ART,On the subgame perfect implementability of voting rules,"Matias Nunez,M. Remzi Sanver",2020-09-19,"0.shs,1.shs.eco",Social Choice and Welfare,,en,false,,"CREST,LAMSADE"
hal-02482236,COMM,Genetic Algorithm to Detect Different Sizes’ Communities from Protein-Protein Interaction Networks,"Marwa Ben M’barek,Amel Borgi,Sana Ben Hmida,Marta Rukoz",2019-07-26,"0.info,1.info.info-ai",,14th International Conference on Software Technologies,en,false,,"LAMSADE,LIPAH"
hal-02860478,ART,The Multiple Steiner TSP with order constraints: complexity and optimization algorithms,"Virginie Gabrel,A. Ridha Mahjoub,Raouia Taktak,Eduardo Uchoa",2020-06-07,"0.info,1.info.info-ro,0.info,1.info.info-dm",Soft Computing,,en,false,,LAMSADE
hal-03097669,ART,Heuristic solution methods for the selective disassembly sequencing problem under sequence-dependent costs,"Jully Jeunet,Federico Della Croce,Fabio Salassa",2021-03,0.info,Computers and Operations Research,,en,false,,LAMSADE
hal-03085249,ART,A policy framework to accommodate both the analytical and normative aspects of biodiversity in ecological compensation,"Anne-Charlotte Vaissière,Yves Meinard",2021-01,"0.sde,0.shs,1.shs.envir,0.shs,1.shs.scipo",Biological Conservation,,en,false,,"ESE,LAMSADE"
