halId_s,docType_s,title_s,authFullName_s,producedDate_s,domain_s,journalTitle_s,conferenceTitle_s,language_s,inPress_bool,keyword_s,labStructAcronym_s
hal-03049284,COMM,Versatile black-box optimization,"Jialin Liu,Antoine Moreau,Mike Preuss,Jeremy Rapin,Baptiste Roziere,Fabien Teytaud,Olivier Teytaud",2020-07-08,"0.info,1.info.info-ai,0.math,1.math.math-oc,0.info,1.info.info-ro",,GECCO '20: Genetic and Evolutionary Computation Conference,en,false,,"LIACS,FAIR,LAMSADE,LISIC"
hal-02361339,ART,Orders of Criticality in Graph Connection Games,"Marco Dall'Aglio,Vito Fragnelli,Stefano Moretti",2019,0.info,Lectures Notes in Computer Science,,en,false,"Order of criticality,Shapley value,Banzhaf value,Graph connection games",LAMSADE
hal-03109623,ART,Polygames: Improved zero learning,"Tristan Cazenave,Yen-Chi Chen,Guan-Wei Chen,Shi-Yu Chen,Xian-Dong Chiu,Julien Dehos,Maria Elsa,Qucheng Gong,Hengyuan Hu,Vasil Khalidov,Cheng-Ling Li,Hsin-I Lin,Yu-Jin Lin,Xavier Martinet,Vegard Mella,Jeremy Rapin,Baptiste Roziere,Gabriel Synnaeve,Fabien Teytaud,Olivier Teytaud,Shi-Cheng Ye,Yi-Jun Ye,Shi-Jim Yen,Sergey Zagoruyko",2021-01-11,"0.info,1.info.info-ai,0.info,1.info.info-lg",International Computer Games Association Journal,,en,false,,"LAMSADE,LISIC,FAIR"
hal-02406614,ART,Empowering biodiversity knowledge,"Vincent Devictor,Yves Meinard",2019-08-05,"0.sdv,0.shs",Conservation Biology,,en,false,,"UMR ISEM,LAMSADE"
hal-02277679,COUV,Interactive Scheduling Decision Support System a case study for fertilizer production on supply chain,"Ahlam Azzamouri,Imane Essaadi,Selwa Elfirdoussi,Vincent Giard",2019,0.info,,,en,false,"Interactive Scheduling Decision Support System ISDSS,Scheduling,Production plant,Modular architecture","CEROS,LAMSADE"
hal-02476544,COMM,A new adaptive sampling approach for Genetic Programming,"Hmida Hmida,Sana Hamida,Amel Borgi,Marta Rukoz",2019-10-28,"0.info,0.info,1.info.info-ai,0.info,1.info.info-lg",,2019 Third International Conference on Intelligent Computing in Data Sciences (ICDS),en,false,"Index Terms-Genetic Programming,Machine Learning,Training set Sampling,Adaptive sampling,Sampling frequency control,KDD intrusion detection",LAMSADE
hal-02276437,COMM,To Alert or Not to Alert? That Is the Question,"Maude Arru,Elsa Negre,Camille Rosenthal-Sabroux",2019-01-08,"0.info,1.info.info-ro,0.info,1.info.info-ai",,52nd Hawaii International Conference on System Sciences (HICSS 52),en,false,"ICT and Artificial Intelligence for Crisis and Emergency Management,Collaboration Systems and Technologies,Crisis management,Decision tree,Decision support system",LAMSADE
hal-02408730,ART,Clustering with Lower-Bounded Sizes - A General Graph-Theoretic Framework,"Faisal N. Abu-Khzam,Cristina Bazgan,Katrin Casel,Henning Fernau",2018,0.info,Algorithmica,,en,false,"Clustering,Computational complexity,Approximation algorithms,Anonymisation","CSM/SAS/LAU,LAMSADE"
hal-01895936,ART,Arguing about constitutive and regulative norms,"Gabriella Pigozzi,Leendert van der Torre",2018,0.info,Journal of Applied Non-Classical Logics,,en,false,"Normative reasoning,Deontic logic,Argumentation,Input/output logic",LAMSADE
hal-02309464,COMM,SQL for Stored and Inherited Relations,Witold Litwin,2019-05,0.info,,21st International Conference on Enterprise Information Systems (ICEIS 2019),en,false,"SQL Databases,Information Systems,Non-procedural Data Definition and Manipulation,Logical Navigation",LAMSADE
hal-02303512,COMM,On the Problem of Assigning PhD Grants,"Katarína Cechlárová,Laurent Gourvès,Julien Lesca",2019-08,0.info,,28th International Joint Conference on Artificial Intelligence (IJCAI 2019),en,false,"Economic Paradigms,Auctions and Market-Based Systems,Computational Social Choice,Resource Allocation",LAMSADE
hal-02299052,COMM,Email Business Activities Extraction and Annotation,"Diana Jlailaty,Daniela Grigori,Khalid Belhajjame",2018-05,0.info,,"12th International Workshop, ISIP 2018",en,false,"Email mining,Text mining,Business process,Business activity,Process instance",LAMSADE
hal-02165855,ART,Parameterized Edge Hamiltonicity,"Michael Lampis,Kazuhisa Makino,Valia Mitsou,Yushi Uno",2018,0.info,Discrete Applied Mathematics,,en,false,"Edge Hamiltonicity,Fixed parameter tractability,Structural parameterization,Polynomial kernel","LAMSADE,RIMS"
hal-02093196,ART,A Complexity Approach for Core-Selecting Exchange under Conditionally Lexicographic Preferences,"Etsushi Fujita,Julien Lesca,Akihisa Sonoda,Taiki Todo,Makoto Yokoo",2018,"0.info,1.info.info-ma",Journal of Artificial Intelligence Research,,en,false,,LAMSADE
hal-02794270,ART,Hedonic Games with Ordinal Preferences and Thresholds,"Anna Maria Kerkmann,Jérôme Lang,Anja Rey,Jorg Rothe,Hilmar Schadrack,Lena Schend",2019,0.info,Journal of Artificial Intelligence Research,,en,false,"Game theory,Multiagent systems,Mathematical foundations",LAMSADE
hal-03036004,ART,The Complexity Landscape of Outcome Determination in Judgment Aggregation,"Ulle Endriss,Ronald de Haan,Jérôme Lang,Marija Slavkovik",2020,"0.info,1.info.info-ai",Journal of Artificial Intelligence Research,,en,false,,LAMSADE
hal-02172783,ART,Group activity selection problem with approval preferences,"Andreas Darmann,Edith Elkind,Sascha Kurz,Jérôme Lang,Joachim Schauer,Gerhard Woeginger",2018,0.info,International Journal of Game Theory,,en,false,"Hedonic games,GASP,Complexity,Approval preferences",LAMSADE
hal-02098319,ART,Minimal arc-sets spanning dicycles,"Denis Cornaz,Herve Kerivin,A. Ridha Mahjoub",2018,0.info,Discrete Applied Mathematics,,en,false,"0–1 programming,Sherali-Adams’s Linearization,Minimal forbidden structure,Directed cycles","LAMSADE,LIMOS"
hal-02191121,COMM,The Database Version Approach: Overview and Future directions,"Talel Abdessalem,Claudia Bauzer Medeiros,Wojciech Cellary,Stéphane Gançarski,Khaled Jouini,Maude Manouvrier,Marta Rukoz,Michel Zam",2018-10,0.info,,"34ème Conférence sur la Gestion de Données – Principes, Technologies et Applications (BDA 2018)",en,false,"Databases,Bases de données",LAMSADE
hal-01226885,ART,QoS-aware Automatic Syntactic Service Composition problem: complexity and resolution,"Virginie Gabrel,Maude Manouvrier,Kamil Moreau,Cecile Murat",2018-03-01,"0.info,0.info,1.info.info-db",Future Generation Computer Systems,,en,false,"Index TermsService composition,QoS optimization ✦,AND/OR constraints,Web Service Challenge",LAMSADE
hal-02440751,COUV,Les Versions de Bases de Données,"Talel Abdessalem,Claudia Bauzer-Medeiros,Wojtech Cellary,Maud Manouvrier,Marta Rukoz,Michel Zamfiroiu",2019,0.info,,,fr,false,Database Version Approach,"UNICAMP,LAMSADE"
hal-02890002,COUV,Transparency of Classification Systems for Clinical Decision Support,"Antoine Richard,Brice Mayag,François Talbot,Alexis Tsoukiàs,Yves Meinard",2020,"0.info,1.info.info-ai,0.info,1.info.info-oh",,,en,false,,LAMSADE
hal-02787674,ART,Integrating Problem Structuring Methods And Concept-Knowledge Theory For An Advanced Policy Design: Lessons From A Case Study In Cyprus,"Irene Pluchinotta,Raffaele Giordano,Dimitrios Zikos,Tobias Krueger,Alexis Tsoukias",2020,"0.info,0.shs,0.shs,1.shs.scipo",Journal of Comparative Policy Analysis,,en,true,"Policy analysis,Multi-stakeholder decision making,Policy analytics,Design theory,Policy Co-design,Fuzzy Cognitive Maps",LAMSADE
hal-02324202,ART,Cartographie descriptive du système national français du financement de la recherche sur projet en vue de son évaluation,"Romain Touret,Yves Meinard,Jean-Claude Petit,Alexis Tsoukiàs",2019,0.info,Innovations - Revue d’économie et de management de l'innovation,,fr,false,"Research Funding,National Innovation System,Policy Analytics,Évaluation,Impact of R&D,Decision Support",LAMSADE
hal-02179802,ART,Decision Support in Participatory Contexts : The Organisational Design Dimension,"Mazri Chabane,Alexis Tsoukiàs,Katherine A Daniell",2019,0.info,International Journal of Decision Support System Technology,,en,false,"Decision processes,Decision support",LAMSADE
hal-01972564,ART,On the rationality of decision-aiding processes,"Yves Meinard,Alexis Tsoukiàs",2019,0.info,European Journal of Operational Research,,en,false,"Validity,Decision processes,Problem structuring,Philosophy of operational research,Legitimacy",LAMSADE
hal-03030065,ART,Learning urban capabilities from behaviours. A focus on visitors values for urban planning,"Giovanna Fancello,Alexis Tsoukias",2020-11,"0.info,0.info,1.info.info-ro",Socio-Economic Planning Sciences,,en,false,"Policy analytics,Spatial multi-criteria analysis,Capability Approach,Multi-attribute Value Theory,Visitors",LAMSADE
hal-02161128,COMM,"Planification dans les jeux-vidéos : À quoi servent les coûts des actions ?,Planning in video games: What are actions costs used for?","Guillaume Prévost,Stéphane Cardon,Tristan Cazenave,Eric Jacopin",2019-07-02,"0.info,1.info.info-mo,0.info,1.info.info-ai",,Rencontres des Jeunes Chercheurs en Intelligence Artificielle 2019,fr,false,"Video Game,Actions planning,A,Actions cost,Jeux-vidéo,Coût des actions,Planification d’actions","LAMSADE,CREC"
hal-02544826,ART,An economic evaluation of operational decisions – an application in scheduling evaluation in fertilizer plants,"Najat Bara,Frédéric Gautier,Vincent Giard",2020-04-15,"0.shs,1.shs.gestion,0.shs",Production Planning and Control,,en,false,,"UP1,CERAPS,LAMSADE"
hal-03005644,COMM,OPTIMISATION MULTI-SITES DE L'ORDONNANCEMENT DES COMMANDES ET DE LEURS MELANGES A PARTIR DE MINERAIS EXTRAITS,"Hajar Hilali,V Hovelaque,Vincent Giard",2020-11-12,0.shs,,"13ème Conférence Francophone de Modélisation, Optimisation et Simulation- MOSIM’20",fr,false,"Modélisation des systèmes continus,Recherche opérationnelle,Chaîne logistique,Gestion de performance,Blending,Gammes alternatives",LAMSADE
hal-02128471,COMM,Quality Based Data Integration for Enriching User Data Sources in Service Lakes,"Hiba Alili,Khalid Belhajjame,Rim Drira,Daniela Grigori,Henda Hajjami Ben Ghezala",2018-07,0.info,,IEEE International Conference on Web Services (ICWS 2018),en,false,"User Centric Data Integration,Service Lakes,Data Service Composition,QoS Evaluation Criteria","LAMSADE,RIADI"
hal-02310396,ART,How Bad is the Freedom to Flood-It?,"Rémy Belmonte,Mehdi Khosravian Ghadikolaei,Masashi Kiyomi,Michael Lampis,Yota Otachi",2019,0.info,Journal of Graph Algorithms and Applications,,en,false,"Flood-filling game,Parameterized complexity",LAMSADE
hal-02482239,ART,Genetic Algorithm for Community Detection in Biological Networks,"Marwa Ben M’barek,Amel Borgi,Walid Bedhiafi,Sana Ben Hmida",2018,0.info,Procedia Computer Science,,en,false,,"LAMSADE,LIPAH,I3"
hal-03037335,COMM,Object Allocation and Positive Graph Externalities,"Dimitris Fotakis,Laurent Gourvès,Stelios Kasouridis,Aris Pagourtzis",2020-08-29,"0.info,1.info.info-ai",,"ECAI 2020, the 24th European Conference on Artificial Intelligence",en,false,,LAMSADE
hal-02446804,ART,A lexicographic pricer for the fractional bin packing problem,"Stefano Coniglio,Fabio D’andreagiovanni,Fabio Furini",2019-11,"0.info,0.math",Operations Research Letters,,en,false,,"Heudiasyc,LAMSADE"
hal-03177609,COMM,USAGE DES PENALITES DANS LES MODELES ECONOMIQUES DE MANAGEMENT INDUSTRIEL,"Najat Bara,Frédéric Gautier,Vincent Giard",2020-11-12,"0.spi,1.spi.auto,0.spi,1.spi.meca",,"13ème CONFERENCE INTERNATIONALE DE MODELISATION, OPTIMISATION ET SIMULATION (MOSIM2020),",fr,false,"Gestion de production,Gestion de performance,Recherche opérationnelle,Modélisation des systèmes,Comptabilité de gestion,Pénalité",LAMSADE
hal-02067357,ART,Les Serious Games et l’éducation au bien commun : l’exemple du jeu PollutionSolutions,Juliette Rouchier,2018,"0.shs,1.shs.edu",Action Publique - Recherche et Pratique,,fr,false,"Pollution,Observatoire Hommes-Millieux,Politique publique,OHM Bassin Minier de Provence,Bien commun,Syetème complexe,Labex DRIIHM,Jeux",LAMSADE
hal-02093118,ART,Implementing Pareto optimal and individually rational outcomes by veto,Remzi Sanver,2018,0.info,Group Decision and Negotiation,,en,false,"Nash implementation,Veto mechanism,Two-person implementation,Implementation with awards",LAMSADE
hal-03047087,ART,The size of the maximum antichains in products of linear orders,"Denis Bouyssou,Thierry Marchant,Marc Pirlot",2020,"0.shs,1.shs.eco,0.math",TOP  An Official Journal of the Spanish Society of Statistics and Operations Research,,en,true,"Maximal antichain,Sperner,Multichoice cooperative game,Linear orders Mathematics Subject Classification 2010 91B06",LAMSADE
hal-03206497,COMM,Search space reduction in MILP approaches for the robust balancing of transfer lines,"Aleksandr Pirogov,André Rossi,Evgeny Gurevsky,Alexandre Dolgui",2021-04,"0.info,1.info.info-ro",,17th International Workshop on Project Management and Scheduling (PMS 2020/2021),en,false,,"LS2N,LAMSADE"
hal-02409052,ART,A more fine-grained complexity analysis of finding the most vital edges for undirected shortest paths,"Cristina Bazgan,Till Fluschnik,André Nichterlein,Rolf Niedermeier,Maximilian Stahlberg",2019,0.info,Networks,,en,false,"Special graph classes,Approximation algorithms,Interdiction problems,Length-bounded cuts,NP-hardness,Parameterized complexity","LAMSADE,SWT - TUB"
hal-02185422,COMM,Using Bankruptcy Rules to Allocate CO2 Emission Permits,"Raja Trabelsi,Stefano Moretti,S. Krichen",2019-04,0.info,,"8th International EAI Conference on Game Theory for Networks, GameNets 2019",en,false,"Cooperative games,CO2 emissions,Weighted Constrained Equal Awards,Bankruptcy situations","LAMSADE,LARODEC"
hal-02558193,COUV,Sometimes the Computation of the Shapley Value is Simple,"Marco Dall'Aglio,Vito Fragnelli,Stefano Moretti",2019,0.info,,,en,false,Cooperative games,LAMSADE
hal-02302286,ART,Indices of criticality in simple games,"Marco Dall'Aglio,Vito Fragnelli,Stefano Moretti",2019,"0.info,0.math",International Game Theory Review,,en,false,"Criticality,Power indices,Simple games,Weighted majority games,Monotonicity",LAMSADE
hal-02103359,ART,An application of the Shapley value to the analysis of co-expression networks,"Giulia Cesari,Encarnación Algaba,Stefano Moretti,Juan A. Nepomuceno",2018,0.info,Applied Network Science,,en,false,"Cooperative game theory,Centrality,Co-expression networks,Shapley value","LAMSADE,LSI-US"
hal-02098417,ART,An exact algorithm for the Partition Coloring Problem,"Fabio Furini,Enrico Malaguti,Alberto Santini",2018,0.info,Computers and Operations Research,,en,false,"Vertex Coloring,Partitioning coloring,Selective coloring,Column generation,Branch-and-Price algorithm",LAMSADE
hal-02156844,ART,Local Envy-Freeness in House Allocation Problems,"Aurélie Beynier,Yann Chevaleyre,Laurent Gourvès,Ararat Harutyunyan,Julien Lesca,Nicolas Maudet,Anaëlle Wilczynski",2019-09,"0.info,1.info.info-ai",Autonomous Agents and Multi-Agent Systems,,en,false,,LAMSADE
hal-01798474,ART,Modelling norm dynamics in multi-agent systems,"Christopher K. Frantz,Gabriella Pigozzi",2018,0.info,The IfCoLog Journal of Logics and their Applications,,en,false,"Multi-agent systems,NorMAS",LAMSADE
hal-01915877,COUV,Modelling norm dynamics in multi-agent systems,"Christopher K Frantz,Gabriella Pigozzi",2018,0.info,,,en,false,"Multi-agent systems,Norms,Norm life cycle,Norm change,Norm synthesis",LAMSADE
hal-02369416,ART,Spatial risk assessment in case of multiple nuclear release scenarios,"Oussama Raboun,Eric Chojnacki,Céline Duffa,David Rios Insua,Alexis Tsoukiàs",2020-06,"0.info,0.info,1.info.info-ro",Socio-Economic Planning Sciences,,en,false,"Multiple criteria decision support,Marine pollution,Environmental risk assessment,Risk rating",LAMSADE
hal-02170699,COMM,Graph-based Clustering under Differential Privacy,"Rafael Pinot,Anne Morvan,Florian Yger,Cedric Gouy-Pailler,Jamal Atif",2018-08,0.info,,Conference on Uncertainty in Artificial Intelligence (UAI 2018),en,false,Graphs,"LAMSADE,LIST"
hal-01858106,ART,"Explanatory relations in arbitrary logics based on satisfaction systems\, cutting and retraction","Marc Aiguier,Jamal Atif,Isabelle Bloch,Ramon Pino Perez",2018-11,"0.info,1.info.info-lo",International Journal of Approximate Reasoning,,en,false,,"MICS,LAMSADE,LTCI"
hal-02152339,ART,Time Cost Quality Trade-off Problems: A survey exploring the assessment of quality,"Mayassa Bou Orm,Jully Jeunet",2018,0.info,Computers & Industrial Engineering,,en,false,"Time Cost Quality Trade-off Problems,Project scheduling,Project crashing,Activity quality,Project quality",LAMSADE
hal-03037304,COMM,Agent-based ordinal classification for group decision making,"Ons Nefla,Imène Brigui,Paolo Viappiani,Oussama Raboun",2020-12-14,"0.info,1.info.info-ma",,The 2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT'20),en,false,"Simulations,Preferences,Group decision making,Multiagent systems,Negotiation,Ordinal classification",LAMSADE
hal-01785231,COMM,Local Envy-Freeness in House Allocation Problems,"Aurélie Beynier,Yann Chevaleyre,Laurent Gourvès,Julien Lesca,Nicolas Maudet,Anaelle Wilczynski",2018-07-10,"0.info,1.info.info-ai",,17th International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2018),en,false,"Object allocation,Envy-Freeness,Complexity,Algorithms",LAMSADE
hal-02160455,COMM,Simultaneous Elicitation of Committee and Voters' Preferences,"Beatrice Napolitano,Olivier Cailloux,Paolo Viappiani",2019-07-02,"0.info,1.info.info-mo,0.info,1.info.info-ai",,Rencontres des Jeunes Chercheurs en Intelligence Artificielle 2019,en,false,"Uncertainty in AI,Computational Social Choice,Uncertainty in AI,Computational Social Choice,Minimax regret,Prefer- ence elicitation",LAMSADE
hal-02301878,COMM,Schemas And Types For JSON Data,"Mohamed-Amine Baazizi,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani",2019-03,0.info,,Advances in Database Technology — EDBT 2019,en,false,"JSON,Schemas,Schema inference","LAMSADE,DiMIE"
hal-02414613,COMM,Independent Set Reconfiguration Parameterized by Modular-Width,"Rémy Belmonte,Tesshu Hanaka,Michael Lampis,Hirotaka Ono,Yota Otachi",2019-06,0.info,,45th International Workshop on Graph-Theoretic Concepts in Computer Science,en,false,"Reconfiguration,Independent set,Modular-width",LAMSADE
hal-02414438,COMM,Parameterized Complexity of Safe Set,"Rémy Belmonte,Tesshu Hanaka,Ioannis Katsikarelis,Michael Lampis,Hirotaka Ono,Yota Otachi",2019-05,0.info,,11th International Conference on Algorithms and Complexity (CIAC 2019),en,false,"Safe set,Parameterized complexity,Vulnerability parameter,Pathwidth,Clique-width",LAMSADE
hal-02170693,COMM,Uplift Modeling from Separate Labels,"Ikko Yamane,Florian Yger,Jamal Atif,Masashi Sugiyama",2018-12,0.info,,32nd Conference on Neural Information Processing Systems (NeurIPS 2018),en,false,Uplift modeling,LAMSADE
hal-02918275,ART,Query-based learning of acyclic conditional preference networks from contradictory preferences,"Fabien Labernia,Florian Yger,Brice Mayag,Jamal Atif",2018-06,"0.info,1.info.info-ai",EURO journal on decision processes,,en,false,,"LAMSADE,LGI,LRI"
hal-02073599,ART,Purely combinatorial approximation algorithms for maximum k -vertex cover in bipartite graphs,"Edouard Bonnet,Bruno Escoffier,Vangelis Th. Paschos,Georgios Stamoulis",2018-02,0.info,Discrete Optimization,,en,false,,"LAMSADE,IRDL"
hal-01706926,ART,A biobjective branch and bound procedure for planning spatial missions,"Dalal Madakat,Jérôme Morio,D. Vanderpooten",2018,"0.phys,1.phys.phys,2.phys.phys.phys-space-ph,0.info,1.info.info-hc",Aerospace Science and Technology,,en,false,"FATHOMING RULES,PARETO FRONTIER,SALESMAN PROBLEM,BIOBJECTIVE TIME DEPENDENT TRAVELING,SPACE DEBRIS,VOYAGEUR DE COMMERCE,DÉBRIS SPATIAUX,FRONTIÈRE DE PARETO",LAMSADE
hal-02984842,COMM,Collective Decision Making under Incomplete Knowledge: Possible and Necessary Solutions,Jérôme Lang,2020-07-11,"0.info,0.info,1.info.info-ai",,Twenty-Ninth International Joint Conference on Artificial Intelligence and Seventeenth Pacific Rim International Conference on Artificial Intelligence {IJCAI-PRICAI-20},en,false,,LAMSADE
hal-02301984,COMM,Argumentation-based Negotiation with Incomplete Opponent Profiles,"Yannis Dimopoulos,Jean-Guy Mailly,Pavlos Moraitis",2019-07-01,"0.info,1.info.info-ai",,13èmes Journées d’Intelligence Artificielle Fondamentale (JIAF 2019),en,false,,"LAMSADE,LIPADE - EA 2517"
hal-02104830,ART,Subset sum problems with digraph constraints,"Laurent Gourvès,Jérôme Monnot,Lydia Tlilane",2018,0.info,Journal of Combinatorial Optimization,,en,false,"Subset sum,Maximal problems,Digraph constraints,Complexity,Directed acyclic graphs,Oriented trees,PTAS",LAMSADE
hal-02115531,ART,Finding disjoint paths on edge-colored graphs: more tractability results,"Riccardo Dondi,Florian Sikora",2018,0.info,Journal of Combinatorial Optimization,,en,false,"Parameterized complexity,Approximation,Social networks,Edge-colored graphs",LAMSADE
hal-02304807,ART,Agreeable sets with matroidal constraints,Laurent Gourvès,2019,0.info,Journal of Combinatorial Optimization,,en,false,"Allocation of indivisible goods,Matroids,Approximation",LAMSADE
hal-01917808,ART,Portfolio optimization with pw-robustness,"Virginie Gabrel,Cécile Murat,Aurélie Thiele",2018,0.info,EURO Journal on Computational Optimization,,en,false,"Portfolio optimization,Robust optimization,Value-at-risk",LAMSADE
hal-03107750,ART,On privacy-aware eScience workflows,"Khalid Belhajjame,Noura Faci,Zakaria Maamar,Vanilson Burégio,Edvan Soares,Mahmoud Barhamgi",2020-05,0.info,Computing,,en,false,,"LAMSADE,LIRIS"
hal-02960164,COMM,Explainability for regression CNN in fetal head circumference estimation from ultrasound images,"Jing Zhang,Caroline Petitjean,Florian Yger,Samia Ainouz",2020-10-04,"0.info,1.info.info-cv,0.info,1.info.info-lg,0.info,1.info.info-im",,Workshop on Interpretability of Machine Intelligence in Medical Image Computing at MICCAI 2020,en,false,,"LITIS,LITIS,LAMSADE,LAMSADE"
hal-03107577,COMM,Twin-width II: small classes,"Edouard Bonnet,Colin Geniet,Eun Jung Kim,Stéphan Thomassé,Rémi Watrigant",2021-01-10,0.info,,SODA 2021,en,false,,LAMSADE
hal-03107537,COMM,Solving hard cut problems via flow-augmentation,"Eun Jung Kim,Stefan Kratsch,Marcin Pilipczuk,Magnus Wahlström",2021-01-10,0.info,,SODA 2021,en,false,,LAMSADE
hal-03118377,ART,One-exact approximate Pareto sets,"Arne Herzel,Cristina Bazgan,Stefan Ruzika,Clemens Thielen,Daniel Vanderpooten",2021,"0.info,0.info,1.info.info-ro",Journal of Global Optimization,,en,true,,LAMSADE
hal-03107597,COMM,Token Sliding on Split Graphs,"Rémy Belmonte,Eun Jung Kim,Michael Lampis,Valia Mitsou,Yota Otachi,Florian Sikora",2019-03-13,0.info,,STACS 2019,en,false,,LAMSADE
hal-03007977,ART,Game theoretic centrality: a novel approach to prioritize disease candidate genes by combining biological networks with the Shapley value,"Min Woo Sun,Stefano Moretti,Kelley Paskov,Nate Stockham,Maya Varma,Brianna Chrisman,Peter Washington,Jae-Yoon Jung,Dennis Wall",2020-12,"0.info,1.info.info-ai",BMC Bioinformatics,,en,false,"Coalitional game theory,Biological network,Shapley value,Game theoretic centrality,Autism spectrum disorder",LAMSADE
hal-03107591,COMM,Grundy Distinguishes Treewidth from Pathwidth,"Rémy Belmonte,Eun Jung Kim,Michael Lampis,Valia Mitsou,Yota Otachi",2020-09-07,0.info,,ESA 2020,en,false,,LAMSADE
hal-03107581,COMM,Twin-width I: tractable FO model checking,"Edouard Bonnet,Eun Jung Kim,Stéphan Thomassé,Rémi Watrigant",2020-11-16,0.info,,FOCS 2020,en,false,,LAMSADE
hal-02186511,ART,The multi-terminal vertex separator problem: Polyhedral analysis and Branch-and-Cut,"D. Cornaz,Y. Magnouche,A. R. Mahjoub,Sébastien Martin",2019,0.info,Discrete Applied Mathematics,,en,false,"Branch-and-Cut algorithm,Facet,Polytope,Integer programming,Vertex separator problem,Complexity,Separation algorithm","LAMSADE,LCOMS"
hal-02293130,COMM,Analysis of Approval Voting in Poisson Games,"François Durand,Antonin Macé,Matias Nunez",2019-06-24,"0.info,1.info.info-gt,0.info,1.info.info-ma",,the 2019 ACM Conference,en,false,,LAMSADE
hal-03007968,ART,Identifying the Salient Genes in Microarray Data: A Novel Game Theoretic Model for the Co-Expression Network,"Papori Neog Bora,Vishwa Jyoti Baruah,Surajit Borkotokey,Loyimee Gogoi,Priyakshi Mahanta,Ankumon Sarmah,Rajnish Kumar,Min Woo Sun,Stefano Moretti",2020-08,"0.info,1.info.info-ai",Diagnostics,,en,false,"Co-expression network,Colon cancer,Cooperative games,Microarray,Network game,Link relevance index,Shapely index",LAMSADE
hal-02021857,COUV,Musical Descriptions Based on Formal Concept Analysis and Mathematical Morphology,"Carlos Agon,Moreno Andreatta,Jamal Atif,Isabelle Bloch,Pierre Mascarade",2018,"0.info,1.info.info-cl,0.math,1.math.math-co,0.shs,1.shs.musiq",,,en,false,"Musical Information Research,Computational music analysis,Formal concept analysis,Mathematical morphology,Congruences,Quotient lattices,Harmonico-morphological descriptors","STMS,LAMSADE,LTCI"
hal-02285040,COMM,Interactive Elicitation of a Majority Rule Sorting Model with Maximum Margin Optimization,"Ons Nefla,Meltem Öztürk,Paolo Viappiani,Imène Brigui-Chtioui",2019-10-25,"0.info,1.info.info-ai",,ADT 2019 - 6th International Conference on Algorithmic Decision Theory,en,false,,LAMSADE
hal-01835777,COMM,A Self-adaptive Agent-based System forCloud Platforms,"Merzoug Soltane,Yudith Cardinale,Rafael Angarita,Philippe Rose,Marta Rukoz,Makhlouf Derdour,Okba Kazar",2018-11-05,"0.info,0.info,1.info.info-ai,0.info,1.info.info-au",,to remove,en,false,,"LINFI,USB,LAMSADE,LIUPPA"
hal-02177689,COMM,Efficient Discovery of Compact Maximal Behavioral Patterns from Event Logs,"Mehdi Acheli,Daniela Grigori,Matthias Weidlich",2019-06,0.info,,31st International Conference on Advanced Information Systems Engineering (CAiSE 2019),en,false,"Behavioral patterns,Process discovery,Pattern mining",LAMSADE
hal-02310673,ART,L'identification syntaxonomique dans les démarche de gestion et/ou restauration écologique en France : pour ou contre ?,"Yves Meinard,Gilles Thébaud",2019,0.info,Naturae,,fr,false,"Bases de données,Lacunes de connaissances,Phytosociologie,Identification,Méthodologie","LAMSADE,UNIVEGE"
hal-02314433,ART,Procrustean beds and empty boxes: on the magic of creating environmental data,"Ivan Jaric,Fabien Quétier,Yves Meinard",2019,0.info,Biological Conservation,,en,false,"Biodiversity databases,Knowledge-gaps,Conservation policies,Data sharing policies",LAMSADE
hal-02179225,COMM,Vers une typologie de contexte pour les systèmes de recommandation,Elsa Negre,2018-05,0.info,,36ème congrès INFORSID. Construire les Systèmes d’Information pour la Transformation des Organisations à l’ère de l’Innovation Numérique (INFORSID 2018),fr,false,"Information systems,Decision support systems,Systèmes de recommandation,Contexte,Systèmes d’information,Aide à la décision,Recommender systems,Context",LAMSADE
hal-02344055,COMM,Maximum Independent Sets in Subcubic Graphs: New Results,"Ararat Harutyunyan,Michael Lampis,Vadim Lozin,Jérôme Monnot",2019-06-19,"0.info,1.info.info-cc,0.info,1.info.info-dm,0.info,1.info.info-ro",,"Graph-Theoretic Concepts in Computer Science - 45th International   Workshop, WG 2019",en,false,,LAMSADE
hal-02556933,ART,A formal framework for deliberated judgment,"Olivier Cailloux,Yves Meinard",2019,0.info,Theory and Decision,,en,false,Deliberated judgment,LAMSADE
hal-02309541,COMM,An FPTAS for a General Class of Parametric Optimization Problems,"Cristina Bazgan,Arne Herzel,Stefan Ruzika,Clemens Thielen,Daniel Vanderpooten",2019-07,0.info,,"25th International Conference, COCOON 2019",en,false,"Parametric optimization,Approximation scheme,Parametric assignment problem,Parametric minimum-cost flow problem,Parametric shortest path problem",LAMSADE
hal-02378977,COMM,A Branch-Cut-and-Price Algorithm for the Location-Routing Problem,"Pedro Liguori,Ridha Mahjoub,Ruslan Sadykov,Eduardo Uchoa",2019-06-17,"0.info,1.info.info-ro",,TRISTAN X  - The Tenth Triennial Symposium on Transportation Analysis,en,false,,"LAMSADE,LaBRI,IMB"
